loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,revol_util,total_acc,open_acc,pub_rec,mort_acc,inq_last_6mths,revol_bal,total_pymnt,out_prncp,loan_to_income,monthly_payment_est,high_dti_flag,high_int_flag,annual_inc_log,loan_amnt_log,true_label,credit_score,fraud_score,unified_score,risk_tier
10.308986,36.0,22.35,3,5.0,0,11.512936,1,3,30.46,37.0,19.0,11.0,1.0,1.0,0.0,15603.0,30026.443,0.0,0.8954264,0.06227185,1.0,1.0,2.526763,2.4255977,0,0.000104610794,0.13949042384497404,0.05585893601562987,LOW
10.59666,60.0,16.14,2,1.0,0,10.71444,2,2,43.25,64.5,37.0,18.0,0.0,1.0,0.0,34971.0,40856.68,0.0,0.98900735,0.02803772,1.0,0.0,2.4608223,2.4507172,0,0.0018036093,0.07114200458617614,0.029538967466867395,LOW
9.903538,36.0,7.56,0,10.0,0,11.512936,0,2,18.92,29.9,19.0,9.0,0.0,5.0,0.0,25416.0,20215.793,0.0,0.8602096,0.020235335,0.0,0.0,2.526763,2.3890872,0,1.6616474e-05,0.02433961420534011,0.009745815566694857,LOW
8.412055,36.0,11.31,1,10.0,3,10.558439,0,2,4.64,15.3,25.0,12.0,0.0,0.0,0.0,4472.0,4549.2173,0.0,0.7967138,0.025713606,0.0,0.0,2.4474158,2.2419913,0,0.00012769889,0.04934065748167235,0.019812882333357863,LOW
9.039078,36.0,27.27,4,3.0,0,12.532438,2,2,12.37,65.7,37.0,21.0,0.0,4.0,0.0,36812.0,8735.149,0.0,0.72125447,0.06662045,0.0,1.0,2.6050897,2.3064852,0,5.5529847e-05,0.10398717294762772,0.041628187087724866,LOW
9.903538,60.0,17.97,3,4.0,3,10.950824,0,3,22.18,45.9,16.0,10.0,0.0,1.0,0.0,33356.0,20013.578,0.0,0.9043646,0.029174848,0.0,0.0,2.4808002,2.3890872,0,0.0010345032,0.03962068041151352,0.01646897409695372,LOW
8.794976,36.0,11.31,1,10.0,3,10.71444,0,2,16.21,58.2,13.0,6.0,0.0,0.0,0.0,6167.0,6622.809,0.0,0.82085264,0.026884103,0.0,0.0,2.4608223,2.2818696,0,0.00068988075,0.031812903695893215,0.01313908995032859,LOW
7.8244457,36.0,13.56,2,5.0,3,10.645449,0,8,15.09,31.6,6.0,3.0,0.0,0.0,0.0,3319.0,2501.2856,0.0,0.7350039,0.028675538,0.0,0.0,2.4549155,2.1775258,0,0.00076900056,0.035358623071506806,0.014604849569612444,LOW
8.2943,36.0,17.97,3,5.0,0,11.002116,1,5,19.1,7.3,18.0,11.0,0.0,2.0,1.0,382.0,4049.9167,0.0,0.75388217,0.040283397,0.0,0.0,2.485083,2.2294014,0,0.0007346257,0.04678809223923387,0.01915601231248499,LOW
7.901377,36.0,8.19,0,4.0,1,10.085851,0,2,24.95,36.4,28.0,21.0,1.0,0.0,0.0,2696.0,2700.8381,0.0,0.7834121,0.017489806,0.0,0.0,2.4056697,2.186206,0,0.00058517145,0.107942127354896,0.04352795381913384,LOW
7.0939717,36.0,23.4,4,3.0,3,11.002116,1,3,20.78,72.8,38.0,4.0,0.0,0.0,0.0,13326.0,1022.649,0.0,0.6447825,0.04486458,0.0,1.0,2.485083,2.0911195,0,0.0004718085,0.0996842098719103,0.04015676907868638,LOW
9.615872,36.0,7.56,0,10.0,0,12.206078,0,5,2.62,39.2,45.0,7.0,0.0,3.0,0.0,19386.0,15063.0,0.0,0.7877938,0.019647567,0.0,0.0,2.580677,2.3623502,0,1.419338e-05,0.04687110025757132,0.018756956131202727,LOW
8.987322,36.0,7.56,0,10.0,0,12.42922,0,8,20.1,61.2,29.0,17.0,0.0,4.0,0.0,133414.0,8053.5513,0.0,0.7230801,0.018363284,0.0,0.0,2.5974329,2.3013165,0,7.7640434e-05,0.108488937135578,0.04344215911828633,LOW
8.517393,36.0,7.56,0,5.0,0,11.492733,0,2,14.78,55.1,13.0,6.0,0.0,2.0,0.0,10190.0,5013.65,0.0,0.7411112,0.017403105,0.0,0.0,2.5251472,2.253121,0,0.00021809436,0.019935320425023873,0.008104984783405286,LOW
9.468928,36.0,7.56,0,10.0,0,10.915107,1,3,19.88,5.0,24.0,15.0,0.0,2.0,1.0,2160.0,13020.705,0.0,0.8675067,0.019347323,0.0,0.0,2.477807,2.3484116,0,5.3121512e-05,0.017746900904516676,0.0071306332689362525,LOW
9.254453,60.0,12.98,1,10.0,0,10.968216,0,2,21.17,18.3,40.0,20.0,0.0,5.0,1.0,8956.0,10573.667,0.0,0.8437519,0.019692263,0.0,0.0,2.4822545,2.327712,0,1.25165725e-05,0.04220112612302595,0.016887960392981235,LOW
9.903538,60.0,26.31,4,4.0,0,10.968216,0,2,22.66,84.5,19.0,5.0,0.0,3.0,0.0,11580.0,20306.95,0.0,0.9029306,0.042715095,0.0,1.0,2.4822545,2.3890872,0,0.000119672724,0.05790879973023681,0.023235323531097335,LOW
9.210441,60.0,12.98,1,1.0,0,11.002116,0,1,12.25,21.8,40.0,23.0,0.0,1.0,1.0,15927.0,10072.107,0.0,0.8371517,0.019598609,0.0,0.0,2.485083,2.3234107,0,0.00014894652,0.0704392066235072,0.02826505056650145,LOW
10.276808,36.0,10.33,1,1.0,0,11.127277,1,4,23.65,3.1,35.0,17.0,0.0,2.0,0.0,2252.0,29275.062,0.0,0.92356896,0.028691737,0.0,0.0,2.4954572,2.4227483,0,0.00016990966,0.0571093671568456,0.02294569266228083,LOW
7.0939717,36.0,13.56,2,1.0,3,10.648776,1,0,24.18,5.8,14.0,7.0,0.0,0.0,2.0,398.0,1007.5333,0.0,0.6661772,0.025998449,0.0,0.0,2.4552011,2.0911195,0,0.0002555616,0.12993919127687403,0.05212901347576291,LOW
8.160804,36.0,18.94,3,10.0,0,11.75431,2,0,17.91,50.0,30.0,8.0,0.0,2.0,2.0,17597.0,3571.3577,0.0,0.6942819,0.041774493,0.0,1.0,2.545869,2.2149339,0,0.00021269175,0.12665771755058286,0.05079070207809644,LOW
